len,wid,rat,cir,pet,species
17.42,6.58,2.65,0.67,2.24,L_cadamensis
17.77,6.88,2.58,0.65,2.15,L_cadamensis
20.65,7.73,2.67,0.67,2.15,L_cadamensis
21.57,7.26,2.97,0.63,2.15,L_cadamensis
25.07,8.34,3.01,0.61,2.4,L_cadamensis
21.14,8.11,2.61,0.62,2.34,L_cadamensis
23.38,8.54,2.74,0.6,2.29,L_cadamensis
21.45,8.62,2.49,0.69,2.66,L_cadamensis
20.22,7.71,2.62,0.62,2.56,L_cadamensis
20.51,7.49,2.74,0.63,2.51,L_cadamensis
18.99,7.42,2.56,0.66,2.56,L_cadamensis
20.7,8.22,2.52,0.7,1.99,L_cadamensis
19.26,8.5,2.27,0.72,2.07,L_cadamensis
16.12,7.5,2.15,0.73,1.61,L_cadamensis
26.17,8.74,2.99,0.63,3.4,L_cadamensis
21.68,7.92,2.74,0.64,1.74,L_cadamensis
22.1,7.74,2.86,0.64,1.85,L_cadamensis
26.46,8.81,3,0.63,2.75,L_cadamensis
25.51,9.88,2.58,0.7,2.61,L_cadamensis
7.05,2.52,2.8,0.65,1,L_campylolepis
8.33,3.47,2.4,0.7,0.96,L_campylolepis
11.4,4.02,2.84,0.65,1.31,L_campylolepis
13.39,5.36,2.5,0.7,1.23,L_campylolepis
12.71,3.95,3.22,0.58,1.22,L_campylolepis
13.04,3.94,3.31,0.56,1.19,L_campylolepis
14.67,4.24,3.46,0.55,1.5,L_campylolepis
11.48,4,2.87,0.58,1.05,L_campylolepis
11.25,3.69,3.05,0.56,0.91,L_campylolepis
12.93,4.28,3.02,0.54,1.1,L_campylolepis
14.07,3.41,4.13,0.47,1.45,L_campylolepis
15.08,3.53,4.27,0.48,1.23,L_campylolepis
11.68,3.76,3.11,0.6,1.1,L_campylolepis
13.39,4.45,3.01,0.59,1.19,L_campylolepis
16.95,5.22,3.25,0.54,1.47,L_campylolepis
14.79,4.31,3.43,0.56,1.29,L_campylolepis
19.4,4.62,4.2,0.49,1.45,L_campylolepis
9.38,3.25,2.89,0.59,1.16,L_campylolepis
11.05,3.98,2.78,0.63,1.19,L_campylolepis
11.48,4.77,2.41,0.71,1.04,L_gougerotae
12.31,5.44,2.26,0.78,1.02,L_gougerotae
11.19,4.81,2.33,0.72,1.21,L_gougerotae
11.69,5.52,2.12,0.72,1.19,L_gougerotae
9.1,4.03,2.26,0.75,0.88,L_gougerotae
8.58,3.62,2.37,0.73,0.84,L_gougerotae
11.22,4.8,2.34,0.73,1.15,L_gougerotae
9.5,4.02,2.36,0.72,1.07,L_gougerotae
11.52,4.99,2.31,0.73,1.04,L_gougerotae
11.4,5.03,2.27,0.72,1.25,L_gougerotae
8.25,3.72,2.22,0.71,1.1,L_gougerotae
11.26,4.84,2.33,0.71,1.21,L_gougerotae
9.75,4.12,2.37,0.74,1.15,L_gougerotae
13.18,5.63,2.34,0.73,1.47,L_gougerotae
9.32,4.48,2.08,0.77,1.39,L_gougerotae
9.2,4.13,2.23,0.7,1.13,L_gougerotae
10.93,4.79,2.28,0.73,1.01,L_gougerotae
8.17,3.59,2.28,0.7,0.96,L_gougerotae
6.29,2.92,2.15,0.76,0.98,L_gougerotae